id_unico,type,pais
Movie_44992,Película,Canada
Movie_44992,Película,United States
Movie_41413,Película,Italy
Movie_49001,Película,France
Movie_63727,Película,Spain
Movie_34335,Película,United States
Movie_51071,Película,France
Movie_41135,Película,United States
Movie_50090,Película,South Korea
Movie_54441,Película,France
Movie_54441,Película,Italy
Movie_51450,Película,Australia
Movie_51450,Película,France
Movie_51450,Película,Ireland
Movie_50461,Película,Japan
Movie_38448,Película,Ireland
Movie_38448,Película,United States
Movie_12645,Película,United States
Movie_80188,Película,United States
Movie_42296,Película,United States
Movie_354870,Película,United Kingdom
Movie_44678,Película,Canada
Movie_44678,Película,United States
Movie_43943,Película,United States
Movie_38407,Película,China
Movie_38407,Película,United States
Movie_234284,Película,Japan
Movie_38180,Película,United States
Movie_42189,Película,United States
Movie_53404,Película,France
Movie_59944,Película,Japan
Movie_38150,Película,United Kingdom
Movie_57627,Película,Thailand
Movie_36515,Película,United States
Movie_121576,Película,Italy
Movie_62439,Película,South Korea
Movie_31900,Película,France
Movie_31900,Película,United States
Movie_42950,Película,United States
Movie_45745,Película,Netherlands
Movie_44946,Película,United States
Movie_48669,Película,United States
Movie_35221,Película,United States
Movie_48015,Película,United Kingdom
Movie_51512,Película,Canada
Movie_53656,Película,South Korea
Movie_44877,Película,United Kingdom
Movie_40720,Película,France
Movie_40720,Película,United States
Movie_36736,Película,United States
Movie_34563,Película,United States
Movie_43642,Película,United States
Movie_49958,Película,Australia
Movie_43090,Película,Canada
Movie_39285,Película,United States
Movie_50272,Película,Mexico
Movie_50365,Película,France
Movie_86843,Película,United States
Movie_53399,Película,Italy
Movie_47177,Película,United Kingdom
Movie_82628,Película,United States
Movie_45075,Película,South Korea
Movie_44263,Película,Hong Kong
Movie_46104,Película,Hong Kong
Movie_40817,Película,Italy
Movie_40817,Película,France
Movie_39053,Película,United States
Movie_48946,Película,United Kingdom
Movie_44594,Película,United States
Movie_64694,Película,Mexico
Movie_41371,Película,United States
Movie_52264,Película,France
Movie_52264,Película,Netherlands
Movie_52264,Película,Switzerland
Movie_52264,Película,Belgium
Movie_45316,Película,India
Movie_75311,Película,United Kingdom
Movie_75311,Película,United States
Movie_52259,Película,France
Movie_47763,Película,Canada
Movie_40619,Película,United States
Movie_70076,Película,Canada
Movie_70076,Película,United States
Movie_299340,Película,Spain
Movie_61404,Película,France
Movie_51090,Película,France
Movie_51090,Película,Belgium
Movie_56014,Película,Italy
Movie_11403,Película,United States
Movie_57749,Película,Australia
Movie_46198,Película,United States
Movie_136294,Película,France
Movie_55785,Película,France
Movie_55785,Película,Italy
Movie_55785,Película,United Kingdom
Movie_44269,Película,France
Movie_54456,Película,India
Movie_53840,Película,Italy
Movie_51794,Película,United States
Movie_55741,Película,China
Movie_75170,Película,United Kingdom
Movie_45332,Película,Spain
Movie_61062,Película,South Korea
Movie_58013,Película,Italy
Movie_47559,Película,United Kingdom
Movie_47559,Película,United States
Movie_47559,Película,Kenya
Movie_63414,Película,India
Movie_38264,Película,Hong Kong
Movie_44282,Película,Argentina
Movie_30844,Película,Canada
Movie_30844,Película,Australia
Movie_49821,Película,Brazil
Movie_62871,Película,Belgium
Movie_62871,Película,France
Movie_62871,Película,Germany
Movie_62871,Película,Luxembourg
Movie_56607,Película,South Korea
Movie_45756,Película,Netherlands
Movie_40900,Película,Canada
Movie_40900,Película,United States
Movie_46934,Película,Spain
Movie_46934,Película,United Kingdom
Movie_57809,Película,Russia
Movie_46689,Película,Brazil
Movie_46689,Película,United Kingdom
Movie_46368,Película,United States
Movie_52338,Película,United States
Movie_60809,Película,Germany
Movie_46523,Película,Netherlands
Movie_70740,Película,Canada
Movie_47386,Película,United States
Movie_52696,Película,India
Movie_64956,Película,United Kingdom
Movie_64956,Película,United States
Movie_52060,Película,United States
Movie_41988,Película,United States
Movie_38166,Película,United States
Movie_57389,Película,Germany
Movie_57389,Película,Italy
Movie_57389,Película,Switzerland
Movie_32612,Película,United States
Movie_50053,Película,United States
Movie_48243,Película,Hungary
Movie_48243,Película,Ireland
Movie_48243,Película,Norway
Movie_48243,Película,Poland
Movie_35217,Película,Germany
Movie_35217,Película,United States
Movie_46064,Película,United States
Movie_39693,Película,Hong Kong
Movie_35428,Película,Russia
Movie_35428,Película,Ukraine
Movie_89825,Película,Japan
Movie_54532,Película,United States
Movie_37951,Película,India
Movie_129182,Película,Japan
Movie_35716,Película,United States
Movie_48373,Película,United States
Movie_39440,Película,United States
Movie_48393,Película,France
Movie_48393,Película,Spain
Movie_51306,Película,China
Movie_40912,Película,United States
Movie_42966,Película,India
Movie_47088,Película,France
Movie_47088,Película,United States
Movie_36699,Película,Russia
Movie_318947,Película,United States
Movie_52043,Película,France
Movie_50737,Película,Turkey
Movie_40722,Película,United States
Movie_71622,Película,Spain
Movie_71622,Película,Mexico
Movie_333926,Película,United States
Movie_46040,Película,India
Movie_46789,Película,Denmark
Movie_27004,Película,United States
Movie_92472,Película,India
Movie_92472,Película,United States
Movie_43727,Película,United States
Movie_188282,Película,Japan
Movie_37828,Película,Denmark
Movie_37828,Película,Sweden
Movie_37828,Película,Afghanistan
Movie_84250,Película,Egypt
Movie_188288,Película,Japan
Movie_466852,Película,United States
Movie_53514,Película,South Korea
Movie_32407,Película,United Kingdom
Movie_70364,Película,United States
Movie_55758,Película,South Korea
Movie_32904,Película,United Kingdom
Movie_56623,Película,France
Movie_44773,Película,United States
Movie_52349,Película,France
Movie_40025,Película,Hong Kong
Movie_44811,Película,United States
Movie_40911,Película,Taiwan
Movie_316776,Película,Uganda
Movie_47261,Película,Argentina
Movie_47261,Película,Chile
Movie_47261,Película,France
Movie_47261,Película,South Korea
Movie_47261,Película,Spain
Movie_45839,Película,United States
Movie_41827,Película,United Kingdom
Movie_44219,Película,United States
Movie_36696,Película,United States
Movie_36696,Película,Russia
Movie_41518,Película,India
Movie_37659,Película,United States
Movie_64205,Película,Thailand
Movie_47557,Película,Russia
Movie_57216,Película,Italy
Movie_56405,Película,Belgium
Movie_56405,Película,France
